player_id,player_name,ip,pitches,batted_balls_allowed,k,xfip,whiff_rate,barrel_rate_allowed,qs,w,sv,era,whip
592866,Trevor Williams,54.3,1017,328,49,4.291717791411043,0.21703853955375255,0.036585365853658534,1.0,0.0,0.0,,
642545,Jaime Barría,32.0,511,171,26,4.34796875,0.21774193548387097,0.017543859649122806,1.0,0.0,0.0,,
605182,Mike Clevinger,39.0,649,189,39,3.7969230769230773,0.28040540540540543,0.042328042328042326,2.0,0.0,0.0,,
676606,Nick Margevicius,40.7,679,206,36,3.8978278688524592,0.17785234899328858,0.04854368932038835,2.0,0.0,0.0,,
624418,Ryan Castellani,42.7,757,227,24,5.96453125,0.22118380062305296,0.04405286343612335,0.0,0.0,0.0,,
607560,Ryne Harper,24.0,408,135,25,4.137291666666667,0.18848167539267016,0.05185185185185185,0.0,0.0,0.0,,
607200,Erick Fedde,50.0,850,270,28,4.4481,0.1384180790960452,0.05185185185185185,1.0,0.0,0.0,,
547888,Masahiro Tanaka,47.0,769,257,43,3.2901063829787236,0.27204030226700254,0.05058365758754864,2.0,0.0,0.0,,
595001,Josh Smith,26.0,426,152,18,4.42173076923077,0.2112676056338028,0.019736842105263157,0.0,0.0,0.0,,
664350,Sixto Sánchez,37.7,559,206,33,3.421769911504425,0.2408026755852843,0.02912621359223301,4.0,0.0,0.0,,
608331,Max Fried,54.3,899,266,50,3.789171779141104,0.2383177570093458,0.018796992481203006,2.0,0.0,0.0,,
622065,Alex Young,46.3,797,260,39,4.130143884892086,0.23918575063613232,0.07307692307692308,0.0,0.0,0.0,,
622092,Kyle Zimmer,22.7,373,110,26,3.1908823529411765,0.26900584795321636,0.02727272727272727,0.0,0.0,0.0,,
643230,Steven Brault,42.3,746,199,37,4.426141732283464,0.21895424836601307,0.02512562814070352,2.0,0.0,0.0,,
656288,Griffin Canning,54.3,965,270,56,4.301840490797546,0.2620689655172414,0.05185185185185185,1.0,0.0,0.0,,
475479,David Phelps,20.7,357,101,31,1.9900000000000002,0.25157232704402516,0.06930693069306931,0.0,0.0,0.0,,
518813,Greg Holland,28.7,447,124,31,2.9810465116279072,0.2935323383084577,0.04032258064516129,0.0,0.0,0.0,,
605164,Dylan Bundy,65.3,1018,286,72,3.1842602040816326,0.28820960698689957,0.027972027972027972,6.0,0.0,0.0,,
650633,Mike King,26.7,470,142,26,4.45525,0.19806763285024154,0.035211267605633804,0.0,0.0,0.0,,
660623,Huascar Ynoa,21.7,395,125,17,4.117230769230769,0.23783783783783785,0.032,0.0,0.0,0.0,,
518553,Steve Cishek,20.0,374,100,21,4.705,0.2631578947368421,0.07,0.0,0.0,0.0,,
448855,Junior Guerra,24.0,404,125,21,4.175625,0.25257731958762886,0.024,0.0,0.0,0.0,,
502706,Derek Holland,40.0,719,203,45,3.5162500000000003,0.24919093851132687,0.08374384236453201,0.0,0.0,0.0,,
641712,Dakota Hudson,38.3,589,184,31,3.846869565217391,0.20577617328519857,0.02717391304347826,3.0,0.0,0.0,,
670950,Trevor Richards,32.0,576,190,27,4.36328125,0.23178807947019867,0.05263157894736842,0.0,0.0,0.0,,
670912,Johan Oviedo,25.0,444,140,16,5.094200000000001,0.2,0.05,0.0,0.0,0.0,,
592879,Asher Wojciechowski,37.0,674,210,31,4.713783783783784,0.2364217252396166,0.04285714285714286,0.0,0.0,0.0,,
677976,Randy Dobnak,46.7,748,251,27,3.8254642857142858,0.19553072625698323,0.03187250996015936,0.0,0.0,0.0,,
641743,Anthony Kay,21.0,409,108,22,4.282619047619048,0.23333333333333334,0.046296296296296294,0.0,0.0,0.0,,
453562,Jake Arrieta,43.7,729,221,32,3.7266793893129773,0.17940199335548174,0.049773755656108594,2.0,0.0,0.0,,
657053,Touki Toussaint,24.0,491,117,30,4.395,0.29901960784313725,0.07692307692307693,1.0,0.0,0.0,,
675921,Spencer Howard,24.3,439,127,23,4.080342465753425,0.2037914691943128,0.031496062992125984,0.0,0.0,0.0,,
663432,Tanner Rainey,20.7,299,67,31,2.2200806451612904,0.43333333333333335,0.05970149253731343,0.0,0.0,0.0,,
572362,Robbie Erlin,26.7,461,156,25,4.1651875,0.16901408450704225,0.07692307692307693,0.0,0.0,0.0,,
543548,Tommy Milone,39.0,697,211,40,3.7341025641025642,0.25663716814159293,0.037914691943127965,2.0,0.0,0.0,,
643327,Zack Godley,28.3,553,155,28,4.595941176470589,0.24390243902439024,0.06451612903225806,0.0,0.0,0.0,,
592351,Jon Gray,39.0,658,216,22,4.771794871794872,0.21035598705501618,0.05092592592592592,3.0,0.0,0.0,,
622694,Elieser Hernández,25.7,453,140,34,2.90987012987013,0.2564102564102564,0.03571428571428571,0.0,0.0,0.0,,
605155,Colten Brewer,25.0,506,169,25,3.7424,0.208,0.07100591715976332,0.0,0.0,0.0,,
453281,Wade LeBlanc,22.3,367,109,13,5.030746268656717,0.2275449101796407,0.027522935779816515,0.0,0.0,0.0,,
572020,James Paxton,20.0,356,110,26,3.455,0.2568306010928962,0.05454545454545454,1.0,0.0,0.0,,
518876,Merrill Kelly,31.3,473,139,29,2.847872340425532,0.2119815668202765,0.07194244604316546,4.0,0.0,0.0,,
