player_id,player_name,pa,batted_balls,pitches_seen,barrels,r_plus_rbi,xwoba,ev90,chase_rate,sb,hr,r,rbi,avg
645801,Mike Ford,84,89,356,4,12.0,0.35015254237288135,105.06,0.21243523316062177,0,2,0.0,12.0,
609280,Miguel Andújar,65,86,250,2,5.0,0.2881923076923077,100.5,0.34507042253521125,0,1,0.0,5.0,
606988,Grayson Greiner,55,60,216,3,8.0,0.39219999999999994,102.94000000000001,0.27522935779816515,0,3,0.0,8.0,
570731,Jonathan Schoop,177,224,624,7,24.0,0.3469112903225806,104.6,0.38181818181818183,0,8,0.0,24.0,
656555,Rhys Hoskins,185,204,769,16,27.0,0.4363271028037384,103.52000000000001,0.22164948453608246,0,10,0.0,27.0,
462101,Elvis Andrus,111,138,412,5,8.0,0.307625,100.66,0.25980392156862747,0,3,0.0,8.0,
448801,Chris Davis,56,62,219,1,1.0,0.23064705882352937,97.89,0.3739130434782609,0,0,0.0,1.0,
595956,Cam Gallagher,60,69,244,0,3.0,0.3248604651162791,96.64,0.27049180327868855,0,1,0.0,3.0,
624431,Jose Trevino,83,98,311,8,9.0,0.37971875,102.63,0.2893081761006289,0,2,0.0,9.0,
606299,José Peraza,121,156,412,4,9.0,0.3009784946236559,100.0,0.41013824884792627,0,1,0.0,9.0,
643418,Shed Long,129,129,498,5,9.0,0.2966455696202532,100.94,0.28294573643410853,0,3,0.0,9.0,
595981,Scott Heineman,54,67,191,2,7.0,0.2749512195121951,100.14,0.37373737373737376,0,1,0.0,7.0,
607461,Matt Beaty,54,62,184,1,5.0,0.335,102.0,0.26506024096385544,0,2,0.0,5.0,
656305,Matt Chapman,152,157,653,16,25.0,0.5244827586206896,106.53999999999999,0.25,0,10,0.0,25.0,
622666,Johan Camargo,127,147,531,4,9.0,0.3012235294117647,100.74,0.30141843971631205,0,4,0.0,9.0,
435062,Howie Kendrick,98,132,384,5,14.0,0.3870526315789473,103.69,0.35678391959798994,0,2,0.0,14.0,
623993,Anthony Santander,162,200,589,13,32.0,0.4043359375,105.3,0.36962750716332377,0,11,0.0,32.0,
664059,Sam Haggerty,55,60,229,1,6.0,0.40041176470588236,101.94000000000001,0.23728813559322035,0,1,0.0,6.0,
592444,JaCoby Jones,109,108,458,7,16.0,0.4167187499999999,103.47,0.26337448559670784,0,5,0.0,16.0,
650490,Yandy Díaz,138,152,573,2,13.0,0.29374736842105265,102.07,0.19571865443425077,0,2,0.0,13.0,
571431,Matt Adams,51,67,209,3,9.0,0.3833870967741935,101.92,0.33653846153846156,0,2,0.0,9.0,
570267,Domingo Santana,84,92,330,3,12.0,0.3562,102.74,0.23837209302325582,0,2,0.0,12.0,
542454,Danny Santana,63,66,260,3,7.0,0.39656250000000004,101.6,0.2867647058823529,0,1,0.0,7.0,
465041,Francisco Cervelli,62,58,220,3,7.0,0.40489473684210525,103.11000000000001,0.2032520325203252,0,3,0.0,7.0,
452254,Hunter Pence,56,55,197,3,6.0,0.39136111111111105,103.12,0.3619047619047619,0,2,0.0,6.0,
596105,Dwight Smith,71,78,287,3,7.0,0.3104545454545455,101.63999999999999,0.25165562913907286,0,2,0.0,7.0,
605548,Bradley Zimmer,50,40,213,1,3.0,0.21060869565217394,93.29,0.1746031746031746,0,1,0.0,3.0,
516770,Starlin Castro,63,86,262,2,4.0,0.3413617021276595,99.05000000000001,0.2740740740740741,0,2,0.0,4.0,
643217,Andrew Benintendi,52,54,229,1,1.0,0.2490909090909091,95.64,0.234375,0,0,0.0,1.0,
543068,C. J. Cron,52,52,215,5,8.0,0.4533076923076923,102.05999999999999,0.28205128205128205,0,4,0.0,8.0,
