player_id,player_name,side,statcast_value,traditional_value,value_delta,statcast_rank,traditional_rank,rank_delta
527054,Julio Teherán,pitching,-1.5078799051370333,-0.17618422264909675,-1.3316956824879365,738,517,-221
518516,Madison Bumgarner,pitching,-1.3583972238868398,-0.07521278206063284,-1.283184441826207,737,385,-352
593643,Hanser Alberto,hitting,-1.2539813118328151,-0.042573826129359144,-1.211407485703456,732,349,-383
664045,Thomas Eshelman,pitching,-1.2759483335238815,-0.22666994294332868,-1.0492783905805527,733,572,-161
543883,Nick Vincent,pitching,-1.1990696762774669,-0.2064756548256359,-0.992594021451831,730,551,-179
605242,Michael Fulmer,pitching,-1.1534576184368153,-0.17618422264909675,-0.9772733957877185,728,517,-211
572362,Robbie Erlin,pitching,-1.0981608165871677,-0.1256985023548648,-0.9724623142323029,721,450,-271
545064,Jairo Díaz,pitching,-1.1663240015514174,-0.2064756548256359,-0.9598483467257815,729,551,-178
657611,Cam Hill,pitching,-1.1461717997641911,-0.19637851076678953,-0.9497932889974017,726,542,-184
663765,Jake Woodford,pitching,-1.1312960084877801,-0.21657279888448228,-0.9147232096032978,724,564,-160
594824,Greg Garcia,hitting,-1.301818820868136,-0.3910988824036482,-0.9107199384644878,735,668,-67
444468,Héctor Rondón,pitching,-1.0535197083509495,-0.14589279047255757,-0.907626917878392,716,476,-240
433589,Yusmeiro Petit,pitching,-1.090150763848935,-0.19637851076678953,-0.8937722530821455,719,542,-177
543699,Tanner Roark,pitching,-0.8523884822555658,0.035855802586677435,-0.8882442848422433,676,273,-403
518553,Steve Cishek,pitching,-1.0426795473250507,-0.16608707859025035,-0.8765924687348003,715,507,-208
