player_id,player_name,side,statcast_value,traditional_value,value_delta,statcast_rank,traditional_rank,rank_delta
606466,Ketel Marte,hitting,3.2093972144797878,3.868494999795922,-0.6590977853161344,1,1,0
669456,Shane Bieber,pitching,2.3975773081148337,0.9244044797651597,1.4731728283496741,2,10,8
608337,Lucas Giolito,pitching,2.0604104663548553,0.6820730223528463,1.378337444002009,3,29,26
594798,Jacob deGrom,pitching,1.9454867534355977,0.6618787342351535,1.2836080192004442,4,31,27
506433,Yu Darvish,pitching,1.7735317165847462,0.5609072936466897,1.2126244229380565,5,44,39
642207,Devin Williams,pitching,1.765924807693477,0.1469243872339877,1.6190004204594892,6,191,185
545361,Mike Trout,hitting,1.7580342884066962,1.0120567381941226,0.7459775502125736,7,6,-1
628317,Kenta Maeda,pitching,1.736452718064708,0.48013014117591857,1.2563225768887896,8,63,55
665487,Fernando Tatís,hitting,1.72903205230132,0.9774009989038275,0.7516310533974926,9,8,-1
665742,Juan Soto,hitting,1.7190654507101832,0.685979620322917,1.0330858303872663,10,28,18
545333,Trevor Bauer,pitching,1.6869322828961621,0.6315873020586145,1.0553449808375477,11,33,22
547989,José Abreu,hitting,1.6801393336641797,1.4298932730490015,0.2502460606151782,12,2,-10
605400,Aaron Nola,pitching,1.632505677648067,0.5811015817643824,1.0514040958836848,13,39,26
543037,Gerrit Cole,pitching,1.6247164076951073,0.702267310470539,0.9224490972245682,14,27,13
542303,Marcell Ozuna,hitting,1.6165078039701886,1.232198974823104,0.38430882914708464,15,4,-11
622491,Luis Castillo,pitching,1.5555350442307394,0.5205187174113041,1.0350163268194352,16,52,36
518692,Freddie Freeman,hitting,1.465296067400873,0.9458976650001295,0.5193984024007435,17,9,-8
675916,James Karinchak,pitching,1.4200805591434669,0.1570215312928341,1.2630590278506328,18,187,169
593934,Miguel Sanó,hitting,1.4133008805458527,0.4433894452908521,0.9699114352550006,19,75,56
659275,Dinelson Lamet,pitching,1.4001217147390739,0.5508101495878432,0.8493115651512306,20,46,26
606192,Teoscar Hernández,hitting,1.3973199248774029,0.7919145015651412,0.6054054233122617,21,16,-5
608369,Corey Seager,hitting,1.3923196494971568,0.8663460489036673,0.5259736005934895,22,11,-11
668678,Zac Gallen,pitching,1.3793966653301388,0.4498387089993794,0.9295579563307594,23,71,48
660670,Ronald Acuña,hitting,1.3613226078741532,0.5768923336940959,0.7844302741800573,24,40,16
471911,Carlos Carrasco,pitching,1.3443769256025468,0.4498387089993794,0.8945382166031675,25,71,46
547180,Bryce Harper,hitting,1.333100984675515,0.6513238810326221,0.681777103642893,26,32,6
453286,Max Scherzer,pitching,1.316923786428946,0.5508101495878432,0.7661136368411028,27,46,19
572228,Luke Voit,hitting,1.3027379821889322,1.4023252658879817,-0.09958728369904946,28,3,-25
621242,Edwin Díaz,pitching,1.297733381394362,0.12673009911629493,1.171003282278067,29,202,173
458681,Lance Lynn,pitching,1.2891184114299004,0.5205187174113041,0.7685996940185963,30,52,22
592518,Manny Machado,hitting,1.274253127736739,0.999848937306911,0.274404190429828,31,7,-24
664040,Brandon Lowe,hitting,1.271803767331174,0.7155152908552759,0.5562884764758981,32,24,-8
669203,Corbin Burnes,pitching,1.2551306542583902,0.5104215733524577,0.7447090809059325,33,55,22
571976,Wil Myers,hitting,1.205566939044116,0.7970345703230772,0.4085323687210387,34,15,-19
621566,Matt Olson,hitting,1.2022480945848384,0.8194825087261609,0.3827655858586775,35,14,-21
547943,Hyun Jin Ryu,pitching,1.1990669120003723,0.3488672684109155,0.8501996435894568,36,104,68
608566,Germán Márquez,pitching,1.1891043098241396,0.35896441246976185,0.8301398973543778,37,97,60
605164,Dylan Bundy,pitching,1.178608778838483,0.3488672684109155,0.8297415104275674,38,104,66
607192,Tyler Glasnow,pitching,1.175088720872608,0.5407130055289968,0.6343757153436111,39,49,10
592332,Kevin Gausman,pitching,1.1724574915122994,0.4195472768228402,0.7529102146894592,40,81,41
664285,Framber Valdez,pitching,1.145361190058241,0.439741564940533,0.705619625117708,41,76,35
543243,Sonny Gray,pitching,1.1374883619844731,0.3488672684109155,0.7886210935735576,42,104,62
474832,Brandon Belt,hitting,1.0866379323407604,0.35990250245171157,0.7267354298890489,43,96,53
605540,Brandon Woodruff,pitching,1.0856518791721637,0.5407130055289968,0.5449388736431668,44,49,5
624585,Jorge Soler,hitting,1.075933140891663,0.19174387475817273,0.8841892661334902,45,167,122
543294,Kyle Hendricks,pitching,1.064175017782561,0.2680901159401444,0.7960849018424166,46,125,79
656305,Matt Chapman,hitting,1.0483105374070203,0.302798824758333,0.7455117126486873,47,118,71
443558,Nelson Cruz,hitting,0.9980796656995122,0.7399308926296986,0.25814877306981365,48,22,-26
650391,Eloy Jiménez,hitting,0.9894132165104756,0.7848267694358658,0.20458644707460982,49,17,-32
592885,Christian Yelich,hitting,0.9795271558442799,0.36187016582305065,0.6176569900212292,50,95,45
621035,Chris Taylor,hitting,0.973533091452325,0.43433404979023776,0.5391990416620873,51,78,27
608070,José Ramírez,hitting,0.9415608618987629,1.02938460783927,-0.08782374594050724,52,5,-47
614177,Franmil Reyes,hitting,0.9350875599757892,0.4465418506774491,0.48854570929834007,53,73,20
477132,Clayton Kershaw,pitching,0.9332037511453762,0.2478958278224516,0.6853079233229247,54,135,81
594777,Kole Calhoun,hitting,0.9067932371114574,0.8438981105005835,0.06289512661087393,55,12,-43
543807,George Springer,hitting,0.8995801018351882,0.6288759426295385,0.2707041592056497,56,34,-22
553993,Eugenio Suárez,hitting,0.8875884161874458,0.7797067006779298,0.10788171550951597,57,18,-39
592450,Aaron Judge,hitting,0.8842498870991026,0.28547095511318543,0.5987789319859171,58,122,64
621020,Dansby Swanson,hitting,0.8644941996239416,0.5453889997903979,0.3191051998335437,59,48,-11
571970,Max Muncy,hitting,0.8478607464143856,0.4831652533390832,0.36469549307530236,60,61,1
608336,Joey Gallo,hitting,0.8455564940134254,0.35478243369377543,0.49077406031964993,61,99,38
605397,Joe Musgrove,pitching,0.841490832641898,0.1772158194105269,0.6642750132313711,62,175,113
607208,Trea Turner,hitting,0.8412576670836921,0.7084275587260007,0.13283010835769138,63,26,-37
554430,Zack Wheeler,pitching,0.8377883154824328,0.1570215312928341,0.6807667841895987,64,187,123
624413,Pete Alonso,hitting,0.8314714840391666,0.7745866319199937,0.056884852119172935,65,19,-46
663757,Trent Grisham,hitting,0.8203693200319856,0.35478243369377543,0.46558688633821016,66,99,33
408234,Miguel Cabrera,hitting,0.8055383403629205,0.47607752120980795,0.32946081915311254,67,64,-3
646240,Rafael Devers,hitting,0.8036752165315799,0.7135476274839369,0.09012758904764306,68,25,-43
573262,Mike Yastrzemski,hitting,0.7858681250241327,0.4934053908549555,0.29246273416917723,69,59,-10
608385,Jesse Winker,hitting,0.7834459795039889,0.3791980354681982,0.4042479440357907,70,91,21
518595,Travis d'Arnaud,hitting,0.7790719193157477,0.4292139810323016,0.34985793828344613,71,79,8
592206,Nick Castellanos,hitting,0.7538689817788069,0.6635316819198335,0.09033729985897343,72,30,-42
666120,Ian Anderson,pitching,0.7514911593387482,0.035855802586677435,0.7156353567520708,73,273,200
640449,Clint Frazier,hitting,0.7470212822877721,0.2263996140484677,0.5206216682393043,74,152,78
641154,Pablo López,pitching,0.7413822332442387,0.21760439564591244,0.5237778375983262,75,154,79
572122,Kyle Seager,hitting,0.73717758706539,0.5678369381934816,0.16934064887190847,76,42,-34
605483,Blake Snell,pitching,0.7348366963159761,0.3387701243520691,0.39606657196390704,77,107,30
669257,Will Smith,hitting,0.734662301448914,0.2437274836936152,0.4909348177552988,78,137,59
656555,Rhys Hoskins,hitting,0.7305896942829747,0.33745456404862795,0.39313513023434676,79,108,29
642086,Dominic Smith,hitting,0.7272600687723948,0.5973726087258405,0.12988746004655427,80,35,-45
665489,Vladimir Guerrero,hitting,0.7259750277186442,0.41188611138715414,0.31408891633149005,81,83,2
657108,Evan White,hitting,0.7050005060634428,0.2610553533387627,0.4439451527246801,82,128,46
543543,Brad Miller,hitting,0.6998112165774838,0.16220820422581383,0.53760301235167,83,183,100
596142,Gary Sánchez,hitting,0.699076101175992,0.32012669440348046,0.3789494067725115,84,111,27
592663,J. T. Realmuto,hitting,0.6956931898778257,0.5056131917421668,0.1900799981356589,85,56,-29
624424,Michael Conforto,hitting,0.6880912222730579,0.3945582417420065,0.29353298053105137,86,85,-1
641816,Tyler Mahle,pitching,0.6847916198210545,0.22770153970475882,0.4570900801162957,87,148,61
446334,Evan Longoria,hitting,0.6823673403918059,0.2315196828064038,0.45084765758540213,88,145,57
668676,Zach Plesac,pitching,0.6808778186860902,0.19741010752821966,0.48346771115787057,89,162,73
664023,Ian Happ,hitting,0.6768155879107897,0.4831652533390832,0.19365033457170644,90,61,-29
600869,Jeimer Candelario,hitting,0.6670869194124133,0.2315196828064038,0.4355672366060095,91,145,54
630105,Jake Cronenworth,hitting,0.6466521647303358,-0.030366025242147772,0.6770181899724836,92,335,243
594807,Adam Duvall,hitting,0.6457174193435186,0.7399308926296986,-0.09421347328618002,93,22,-71
650644,Aaron Civale,pitching,0.6330894283491311,0.31857583623437635,0.3145135921147547,94,112,18
664126,Pete Fairbanks,pitching,0.6304825183154052,0.035855802586677435,0.5946267157287278,95,273,178
621244,José Berríos,pitching,0.6239546299110952,0.3084786921755299,0.31547593773556526,96,116,20
605141,Mookie Betts,hitting,0.6186643459719188,0.8438981105005835,-0.22523376452866473,97,12,-85
663656,Kyle Tucker,hitting,0.6159351803906769,0.5851648078386291,0.03077037255204773,98,38,-60
669374,Keston Hiura,hitting,0.6152459032429721,0.5646845328068846,0.05056137043608755,99,43,-56
457759,Justin Turner,hitting,0.600089813305685,0.021617583693294723,0.5784722296123903,100,287,187
571760,Andrew Heaney,pitching,0.5927684025433142,0.3286729802932227,0.26409542225009147,101,109,8
594577,Mike Mayers,pitching,0.5915411863181019,0.05605009070437021,0.5354910956137318,102,254,152
457705,Andrew McCutchen,hitting,0.5856830226351083,0.4587496515646605,0.12693337107044778,103,68,-35
467793,Carlos Santana,hitting,0.5792015765144699,0.3823504408547952,0.19685113565967471,104,89,-15
554431,Tyler Matzek,pitching,0.5752164177270646,0.05605009070437021,0.5191663270226944,105,254,149
666971,Lourdes Gurriel,hitting,0.57471338054553,0.5229410613873143,0.051772319158215674,106,51,-55
425844,Zack Greinke,pitching,0.5683806712160085,0.3084786921755299,0.2599019790404786,107,116,9
572041,AJ Pollock,hitting,0.5658058000465522,0.7745866319199937,-0.20878083187344143,108,19,-89
607536,Kyle Freeland,pitching,0.5619814078194701,0.08634152288090938,0.4756398849385608,109,221,112
543592,Austin Nola,hitting,0.5616630974344062,0.2488475524515513,0.3128155449828549,110,134,24
518735,Yasmani Grandal,hitting,0.558068889611182,0.32524676316141654,0.2328221264497654,111,110,-1
642547,Freddy Peralta,pitching,0.5518530028911923,0.09643866693975577,0.45541433595143654,112,214,102
656427,Jack Flaherty,pitching,0.5420609466679559,0.11663295505744856,0.42542799161050737,113,206,93
623520,David Bote,hitting,0.5350344905942567,0.2315196828064038,0.3035148077878529,114,145,31
641786,Kyle Lewis,hitting,0.5332545021849547,0.43630171316157684,0.0969527890233779,115,77,-38
608718,Brent Suter,pitching,0.5298176724903565,0.005564370410138268,0.5242533020802183,116,299,183
543685,Anthony Rendon,hitting,0.5290334483540727,0.37723037209685906,0.15180307625721368,117,92,-25
641355,Cody Bellinger,hitting,0.5287141457212666,0.5004931229842307,0.028221022737035972,118,57,-61
592741,Chasen Shreve,pitching,0.5269446937785387,-0.03482420582524729,0.561768899603786,119,338,219
642715,Willy Adames,hitting,0.5239015630008433,0.2090717444033202,0.3148298185975231,120,157,37
605130,Scott Barlow,pitching,0.5210173507394094,0.015661514468984658,0.5053558362704247,121,289,168
656941,Kyle Schwarber,hitting,0.5209603137067266,0.3496623649358393,0.17129794877088728,122,103,-19
621107,Zach Eflin,pitching,0.520720056389475,0.31857583623437635,0.2021442201550987,123,112,-11
545341,Randal Grichuk,hitting,0.5162082232715522,0.5698046015648207,-0.053596378293268465,124,41,-83
664761,Alec Bohm,hitting,0.5106530844650679,0.038945453338442224,0.4717076311266256,125,271,146
663903,Brady Singer,pitching,0.5081095585679957,0.2377986837636052,0.2703108748043905,126,143,17
664062,Tony Gonsolin,pitching,0.505955520862784,0.076244378822063,0.4297111420407209,127,229,102
608371,Lucas Sims,pitching,0.503917748960198,-0.03482420582524729,0.5387419547854453,128,338,210
502671,Paul Goldschmidt,hitting,0.5034820979077689,0.04603318546771748,0.45744891244005137,129,264,135
666200,Jesús Luzardo,pitching,0.49323416283174853,0.2680901159401444,0.2251440468916041,130,125,-5
571578,Patrick Corbin,pitching,0.491389537625553,0.22770153970475882,0.26368799792079417,131,148,17
605204,J. D. Davis,hitting,0.4879344758677063,0.04603318546771748,0.4419012903999888,132,264,132
593428,Xander Bogaerts,hitting,0.48176668306598686,0.45362958280672433,0.028137100259262526,133,69,-64
579328,Yusei Kikuchi,pitching,0.48154737352812543,0.09643866693975577,0.38510870658836965,134,214,80
643265,Garrett Cooper,hitting,0.47940480645923417,0.06336105511286498,0.4160437513463692,135,248,113
545358,Max Stassi,hitting,0.47934390507955854,0.09289672564522385,0.3864471794343347,136,219,83
425794,Adam Wainwright,pitching,0.4681053552103339,0.1671186753516805,0.3009866798586534,137,180,43
521692,Salvador Pérez,hitting,0.46778786551889784,0.4709574524518718,-0.003169586932973978,138,65,-73
458015,Joey Votto,hitting,0.46538959774546357,0.31500662564554427,0.1503829720999193,139,114,-25
572233,Christian Walker,hitting,0.4629345727224332,0.3701426399675838,0.09279193275484943,140,94,-46
543305,Aaron Hicks,hitting,0.46171634995145894,0.06336105511286498,0.39835529483859394,141,248,107
519317,Giancarlo Stanton,hitting,0.45949722252312625,-0.15678118151611636,0.6162784040392426,142,501,359
519048,Mitch Moreland,hitting,0.4584021620812712,0.3721103033389229,0.08629185874234829,143,93,-50
592192,Mark Canha,hitting,0.4571176301618964,0.2590876899674236,0.1980299401944728,144,131,-13
669221,Sean Murphy,hitting,0.43892404681134795,-0.028398361870808637,0.4673224086821566,145,334,189
576397,Jedd Gyorko,hitting,0.4376599498840161,0.15196806670994162,0.28569188317407446,146,190,44
521230,Liam Hendriks,pitching,0.4341542666209313,-0.0045327736487081206,0.43868704026963945,147,307,160
543135,Nathan Eovaldi,pitching,0.430860298062012,0.1469243872339877,0.2839359108280243,148,191,43
669432,Trevor Rogers,pitching,0.4273888857673561,0.015661514468984658,0.41172737129837145,149,289,140
596115,Trevor Story,hitting,0.4245753033956418,0.4189738435164293,0.005601459879212511,150,82,-68
543333,Eric Hosmer,hitting,0.4238182354359095,0.46386972032259655,-0.04005148488668703,151,67,-84
570256,Gregory Polanco,hitting,0.42314915053491764,0.11022459529037135,0.3129245552445463,152,210,58
575929,Willson Contreras,hitting,0.41163848566577915,0.19686394351610884,0.21477454214967032,153,165,12
656756,Jordan Montgomery,pitching,0.40982524229784856,0.09643866693975577,0.3133865753580928,154,214,60
660294,Yoshi Tsutsugo,hitting,0.40869545490083453,0.19174387475817273,0.2169515801426618,155,167,12
592567,Colin Moran,hitting,0.40811046943300994,0.302798824758333,0.10531164467467696,156,118,-38
457708,Justin Upton,hitting,0.4072806839685749,0.20395167564538408,0.20332900832319084,157,161,4
605119,Brian Anderson,hitting,0.3980608000265704,0.5922525399679043,-0.19419173994133387,158,37,-121
594835,Marco Gonzales,pitching,0.3955648187667303,0.2680901159401444,0.12747470282658585,159,125,-34
621466,DJ Stewart,hitting,0.3937297752680642,-0.011070492225661137,0.40480026749372533,160,318,158
571718,Brian Goodwin,hitting,0.3879509295509384,0.08068892475801248,0.3072620047929259,161,226,65
656954,Justus Sheffield,pitching,0.3821694330329417,0.10653581099860217,0.27563362203433955,162,212,50
607625,Seth Lugo,pitching,0.3800107978716174,0.09643866693975577,0.2835721309318616,163,214,51
596129,Dan Vogelbach,hitting,0.37799027371168425,-0.040606162758020016,0.4185964364697043,164,348,184
657656,Ramón Laureano,hitting,0.3779233394287979,0.13267253369345497,0.24525080573534294,165,197,32
608331,Max Fried,pitching,0.3763782173631386,0.12673009911629493,0.24964811824684366,166,202,36
641857,Ryan McMahon,hitting,0.3752977350235169,0.29059102387112157,0.08470671115239531,167,121,-46
572971,Dallas Keuchel,pitching,0.37162405735413834,0.04595294664552382,0.32567111070861454,168,266,98
664238,Dylan Moore,hitting,0.37050396510264494,0.07044878724214024,0.30005517786050473,169,238,69
673357,Luis Robert,hitting,0.36182445129796004,0.45362958280672433,-0.09180513150876429,170,69,-101
664350,Sixto Sánchez,pitching,0.3600621546891305,-0.04492134988409367,0.4049835045732242,171,350,179
596103,Austin Slater,hitting,0.3572221814791356,-0.24342052974185385,0.6006427112209894,172,594,422
663586,Austin Riley,hitting,0.3547097411456778,0.2437274836936152,0.11098225745206264,173,137,-36
623993,Anthony Santander,hitting,0.3539915030416007,0.4709574524518718,-0.11696594941027111,174,65,-109
543768,Travis Shaw,hitting,0.3521962099076032,-0.005950423467725017,0.3581466333753282,175,313,138
543105,Alex Dickerson,hitting,0.3520774890082153,0.35478243369377543,-0.002704944685560151,176,99,-77
444482,David Peralta,hitting,0.33870236179264096,0.2590876899674236,0.07961467182521736,177,131,-46
518792,Jason Heyward,hitting,0.3363116673960078,0.08068892475801248,0.25562274263799534,178,226,48
596748,Maikel Franco,hitting,0.3342540177302023,0.48631765872568017,-0.15206364099547787,179,60,-119
573131,Darin Ruf,hitting,0.32708522412201674,-0.05281396364523139,0.3798991877672481,180,358,178
605135,Chris Bassitt,pitching,0.3218250968289491,0.1772158194105269,0.14460927741842222,181,175,-6
660271,Shohei Ohtani,hitting,0.3198779641821191,0.16220820422581383,0.15766975995630528,182,183,1
502110,J. D. Martinez,hitting,0.3179002747443188,0.19686394351610884,0.12103633122820998,183,165,-18
593423,Frankie Montas,pitching,0.3115009528458017,0.22770153970475882,0.08379941314104289,184,148,-36
642133,Rowdy Tellez,hitting,0.30969344123711684,0.2090717444033202,0.10062169683379665,185,157,-28
458676,Josh Lindblom,pitching,0.3028139745600617,0.1469243872339877,0.155889587326074,186,191,5
592626,Joc Pederson,hitting,0.30223036630340844,0.023585247064633857,0.27864511923877455,187,286,99
570482,Gio Urshela,hitting,0.3005083479450466,0.2712954908546349,0.029212857090411715,188,124,-64
605513,Spencer Turnbull,pitching,0.29529115000652945,0.13682724317514133,0.1584639068313881,189,196,7
502054,Tommy Pham,hitting,0.29431778862132385,-0.23318039222598164,0.5274981808473055,190,579,389
592767,Drew Smyly,pitching,0.29240808979234484,0.04595294664552382,0.24645514314682102,191,266,75
642232,Ryan Yarbrough,pitching,0.2841936782186082,0.0661472347632166,0.2180464434553916,192,244,52
605137,Josh Bell,hitting,0.2823784666725055,0.15708813546787773,0.12529033120462776,193,186,-7
624415,Cavan Biggio,hitting,0.27699525891991333,0.2957110926290577,-0.01871583370914437,194,120,-74
592530,José Marmolejos,hitting,0.27231325426313135,-0.005950423467725017,0.27826367773085636,195,313,118
605200,Zach Davies,pitching,0.267488724154661,0.257992971881298,0.009495752273363023,196,133,-63
663978,Chris Paddack,pitching,0.261328221691521,0.20750725158706604,0.05382097010445494,197,160,-37
645261,Sandy Alcántara,pitching,0.2601119045827763,0.015661514468984658,0.2444503901137916,198,289,91
621121,Lance McCullers,pitching,0.2575880149961107,0.18731296346937326,0.07027505152673746,199,171,-28
643511,Tyler Rogers,pitching,0.2549667023080242,-0.10550421423717202,0.36047091654519625,200,420,220
665120,Jared Walsh,hitting,0.25076324364744795,0.2732631542259741,-0.022499910578526128,201,123,-78
